"domain","title","category"
"hotel","Nhà Nghỉ Quỳnh Ngọc","Khách sạn"
"hotel","Nhà Nghỉ Tùng Lâm","Nhà nghỉ trượt tuyết"
"hotel","Nhà nghỉ huyện An Dương","Khách sạn"
"hotel","Metahome Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","DN Stay Cơ sở 1","Căn hộ nghỉ dưỡng cho thuê"
"hotel","HeartStay","Khu liên hợp căn hộ"
"hotel","MINHKHANG HOTEL","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Apartment 1","Căn hộ nghỉ dưỡng cho thuê"
"hotel","The LuxHomes Apartment ᵀᴹ I Vinhomes Imperia","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Homestay HP","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Dip Haus Homestay - 45 Hoàng Văn Thụ","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Panklee Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Happy Homestay Hải Phòng","Căn hộ nghỉ dưỡng cho thuê"
"hotel","DORO Cinema Coffee","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Chỗ ở họp","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Our Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Khánh Phong Apartment PG02-20","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Cho thuê Vinhomes Imperia Rentals | Hai Phong 高级公寓出租 | 하이퐁 아파트 임대","Đại lý cho thuê căn hộ"
"hotel","Hannah Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Nhà nghỉ Phương Thoa","Căn hộ nghỉ dưỡng cho thuê"
"hotel","26 Residence Hanoi","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Nhà LK2-22 Hoàng Huy Pruksa Town","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Lahomes Thái Hà","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Thanh Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Ngochomestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Love Path Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Papa's Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","MAY STAY","Căn hộ nghỉ dưỡng cho thuê"
"hotel","G. Stay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Nhà nghỉ Vinh Quang","Căn hộ nghỉ dưỡng cho thuê"
"hotel","META HOME HD106 - Apartment&Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Aura Home Thái Hà","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Toan Tien Housing's the Celadon Building","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Hanoi Lakeside Guesthouse","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Bluehomes 34 Hoàng Cầu","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Thao Nguyen Homestay Ha Noi","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Lahomestay Nguyễn Văn Tuyết","Căn hộ nghỉ dưỡng cho thuê"
"hotel","SakuraHousing-Vinhomes Metropolis Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","VIHA HOME","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Chisina House","Căn hộ được phục vụ"
"hotel","Chung cư Mini Happy House","Căn hộ nghỉ dưỡng cho thuê"
"hotel","The Urbanist – Hanoi Gardenia Living","Khách sạn"
"hotel","Hanoi's Hidden Gem Escape Rooftop","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Era Apartment Trung Liệt","Căn hộ nghỉ dưỡng cho thuê"
"hotel","26 Phạm Huy Thông","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Funhome Apartment Kim Mã","Căn hộ nghỉ dưỡng cho thuê"
"hotel","SALAHOMES","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Căn hộ Phú Đăng-Phú Đăng Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Private Homes","Lưu trú nhà dân"
"hotel","GP Invest Building","Tòa nhà với các căn hộ đã được hoàn thiện"
"hotel","MOONLIGHT TAY HO","Căn hộ nghỉ dưỡng cho thuê"
"hotel","CQSH Nunanunong 34NH","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Toantienhousing ThreeTree","Căn hộ nghỉ dưỡng cho thuê"
"hotel","ECO Green Building","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Hao Nam Apartment by Dapano","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Chung cư C7","Chung cư"
"hotel","SUMITOMO 3 Serviced Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","NINE HOUSING B3 Kim Ma","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Toan Tien Housing Moon Building","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Luxury Apartment in Vinhomes Metropolis near Lotte","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Sumitomo4 Apartment - 20 Dao Tan","Căn hộ được phục vụ"
"hotel","Sumitomo9 Apartment - 58 Dao Tan","Căn hộ được phục vụ"
"hotel","SH Giang Vo","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Aura home Thành Công","Căn hộ nghỉ dưỡng cho thuê"
"hotel","FULL HOUSE HIẾU HUYỀN","Căn hộ nghỉ dưỡng cho thuê"
"hotel","HIMAWARI Services 629 Kim Ma","Căn hộ nghỉ dưỡng cho thuê"
"hotel","CHDV BMC","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Căn hộ nghỉ dưỡng","Căn hộ"
"hotel","12 Ng. 523 P. Kim Mã,Ngọc Khánh, Ba Đình, Hà Nội, Việt Nam","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Bluehomes Đội Cấn","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Khu căn hộ dịch vụ PARKROYAL Hà Nội (PARKROYAL Hanoi Serviced Suites)","Khách sạn"
"hotel","AliHomes CS2","Căn hộ nghỉ dưỡng cho thuê"
"hotel","LYNN Apartment - Vinhomes Metropolis - Lotte Hanoi","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Louis Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Royal Serviced apartment Vinhomes Metropolis","Căn hộ nghỉ dưỡng cho thuê"
"hotel","CHDV BMC Thái Thịnh","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Lancaster Hanoi","Chỗ ở được phục vụ"
"hotel","Nhà khách Thành phố","Nhà khách"
"hotel","AUI Hotel","Khách sạn"
"hotel","GALLANT HOTEL 154","Khách sạn"
"hotel","GM Homestay","Lưu trú nhà dân"
"hotel","Sunflower homestay","Lưu trú nhà dân"
"hotel","Nhà trọ Đăng Bền","Nhà trọ"
"hotel","Hoàng Tuyết Motel hay Happy guest house","Khách sạn"
"hotel","PHẠM Hotel & Views","Khách sạn"
"hotel","Hotel Hoàng Tùng","Khách sạn"
"hotel","Thao Mai","Khách sạn"
"hotel","Lotus Hotel & Apartments","Khách sạn"
"hotel","Cozi 9 Hotel","Khách sạn"
"hotel","Pandora Aparment & motel","Khách sạn"
"hotel","QUEENIE Hotel","Khách sạn"
"hotel","Home Sweet Home","Khách sạn"
"hotel","Méow Homestays Hải Phòng","Lưu trú nhà dân"
"hotel","Nhà trọ bùi thanh","Nhà trọ"
"hotel","AU79 Hotel & Apartment","Khách sạn"
"hotel","Nhà trọ Sơn Định","Nhà trọ"
"hotel","Nhà trọ tân dương","Nhà trọ"
"hotel","Trọ bác Tuấn","Nhà trọ"
"hotel","Nhà trọ gia đình","Nhà trọ"
"hotel","Nhà trọ ông Trúc","Phòng cho thuê"
"hotel","Nhà trọ Duyên Thuỷ","Nhà trọ"
"hotel","Nhà trọ chú Sáu","Nhà trọ"
"hotel","Nhà trọ Cô Tám","Nhà trọ"
"hotel","Phòng Trọ Hồ Đá","Nhà trọ"
"hotel","Vinh Ngân 2 - Nhà trọ","Nhà trọ"
"hotel","Nhà Trọ Phương Nam","Nhà trọ"
"hotel","Nhà trọ Doan Sách","Nhà trọ"
"hotel","Nhà Trọ Dự Thu","Nhà trọ"
"hotel","Nhà trọ Bác Vinh","Nhà trọ"
"hotel","Nhà trọ bà tình","Nhà trọ"
"hotel","NHÀ TRỌ LÂM ĐỘNG","Nhà trọ"
"hotel","Nhà trọ Cô Loan","Nhà trọ"
"hotel","Nhà Trọ Hướng Dương","Nhà trọ"
"hotel","Nhà trọ công nhân","Nhà trọ"
"hotel","Nhà trọ Tuấn Ngọc","Nhà trọ"
"hotel","Nhà trọ ông chính, gốc cây me","Nhà trọ"
"hotel","Nhà Trọ Bảo Phúc","Nhà trọ"
"hotel","Nhà ông chính","Nhà trọ"
"hotel","Nhà PHY","Lưu trú nhà dân"
"hotel","Nhà Trọ Cường Hằng 4b","Nhà trọ"
"hotel","Nhà Trọ Trai Hoà","Nhà trọ"
"hotel","Nhà Trọ Cô Dịp","Nhà trọ"
"hotel","quân hà","Nhà trọ"
"hotel","Nhà trọ Khương Nụ","Nhà trọ"
"hotel","Nhà trọ Chú Huy","Nhà trọ"
"hotel","Nhà trọ Ông Thủy","Nhà trọ"
"hotel","Nhà Trọ Văn Minh","Phòng cho thuê"
"hotel","Nhà Ông Hân","Khách sạn"
"hotel","Chỗ học","Nhà trọ"
"hotel","Nhà trọ Toàn Cầu","Nhà trọ"
"hotel","nhà trọ Trọng Hải","Nhà trọ"
"hotel","Nhà trọ Tấn Vân","Nhà trọ"
"hotel","Nhà trọ Lan Hương","Nhà trọ"
"hotel","Nhà trọ Hoa Cúc","Nhà trọ"
"hotel","Nhà Trọ Trung Chiều","Nhà trọ"
"hotel","Vinh Ngân","Nhà trọ"
"hotel","Nhà trọ cô Vân","Nhà trọ"
"hotel","Nhà Trọ Đồi 34A","Nhà trọ"
"hotel","NHÀ TRỌ FAMILY","Nhà trọ"
"hotel","Nhà trọ cô Thi ( Taxi Văn Hiển)","Nhà trọ"
"hotel","Nhà trọ chị Hương","Lưu trú nhà dân"
"hotel","Nhà Trọ Thu Hiền","Nhà trọ"
"hotel","Nhà Trọ Bình Dân","Nhà trọ"
"hotel","nhà trọ tuấn tươi","Nhà trọ"
"hotel","Nhà trọ Cường Híp","Khách sạn"
"hotel","Nhà trọ bác Trường","Nhà trọ"
"hotel","Moonlan Homestay - Moonland Hotel","Khách sạn"
"hotel","Trọ chị","Nhà trọ"
"hotel","LN Studio","Nhà trọ"
"hotel","Nhà trọ anh em pro","Khách sạn"
"hotel","nhà trọ hải đăng","Nhà trọ"
"hotel","Nhà Trọ Chị Vân","Nhà trọ"
"hotel","Nhà Trọ Cô nhật","Khách sạn"
"hotel","Nhà Trọ Sơn Hà","Nhà trọ"
"hotel","Nhà Ông Tuyền","Lưu trú nhà dân"
"hotel","Nhà Trọ bác Phương","Nhà trọ"
"hotel","Hotel Thư Kỳ","Khách sạn"
"hotel","Nhà Trọ Anh Hoàng Láng Hạ","Nhà trọ"
"hotel","Huong Lam HOTEL","Khách sạn"
"hotel","Khách Sạn Sao Thái Dương","Khách sạn"
"hotel","Nhà trọ chị Cường","Nhà trọ"
"hotel","Nhà trọ Phương Quang","Nhà trọ"
"hotel","Nhà trọ Tuấn Tuyết","Nhà trọ"
"hotel","Nhà Trọ Chị Thuỷ","Nhà trọ"
"hotel","Nhà trọ Viện Nhi 45 Nguyễn Chí Thanh","Nhà trọ"
"hotel","Chun House - Nhà trọ đầy đủ tiện nghi, xách Vali đến ở.","Nhà trọ"
"hotel","Nhà trọ","Nhà trọ"
"hotel","Nhà trọ bà thoả","Nhà trọ"
"hotel","Nhà Trọ Vịnh Hạ Long","Nhà trọ"
"hotel","Nhà Bắp","Nhà trọ"
"hotel","Doji diamon","Khách sạn"
"hotel","Canhhung palace","Khách sạn"
"hotel","Khách Sạn Tường Vi","Khách sạn"
"hotel","The Eudora Homestay","Khách sạn"
"hotel","Khách Sạn Thông Đỏ","Khách sạn"
"hotel","Khách Sạn Mường Thanh Thanh Niên Vinh","Khách sạn"
"hotel","Khách Sạn Mường Thanh Grand Phương Đông","Khách sạn"
"hotel","Khách sạn Sao Việt","Khách sạn"
"hotel","Nhà nghỉ Lĩnh Hồng","Khách sạn"
"hotel","Nhà nghỉ Phúc Thinhh","Khách sạn"
"hotel","Hotel NHÀ NGHỈ PHONG LAN","Nhà khách"
"hotel","Nhà Nghỉ Công Tuấn","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Tân Thu","Nhà nghỉ trượt tuyết"
"hotel","Nhà nghỉ Núi Hồng","Khách sạn"
"hotel","Hotel nhà nghỉ Anhtuan","Khách sạn"
"hotel","NHÀ NGHI 64","Khách sạn"
"hotel","Nhà Nghỉ,Khách sạn vùng trời xanh","Khách sạn"
"hotel","6T Retreat Hương Sơn Cảnh","Nhà nghỉ dưỡng cho thuê"
"hotel","Nhà Nghỉ Thu Linh","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Lê Xuân","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ TUẤN HÀ","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ HELLO","Khách sạn"
"hotel","Nhà Nghỉ Tuấn Thắm","Khách sạn"
"hotel","Nhà nghỉ 007","Khách sạn"
"hotel","Nhà Nghỉ Lê Khoa","Nhà nghỉ dưỡng"
"hotel","Nhà nghỉ Minh Hải","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Nghìn Lẻ Một Đêm","Khách sạn"
"hotel","Nhà Nghỉ Cúc Thông","Chỗ trọ trong nhà"
"hotel","Secret Home","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Ba Đình- Đào Tấn Homestay & Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","J'adore Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Mango Homestay Hà Nội","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Bloom Home - Hanoi Centre","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Hồng Phúc Apartments LG","Căn hộ nghỉ dưỡng cho thuê"
"hotel","CĂN HỘ LINH LANG SUMITOMO TOWER","Đại lý cho thuê căn hộ"
"hotel","Blue Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Homestay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","La Casa Di Dicembre","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Serviced Apartment Linh Lang","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Trọ chị Chi","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Soc'sHouse","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Bee.stay","Căn hộ nghỉ dưỡng cho thuê"
"hotel","T&L House","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Lif home","Lưu trú nhà dân"
"hotel","Sumitomo13 Apartment & Hotel","Căn hộ được phục vụ"
"hotel","Chung Cư Mini Thái Hà","Lưu trú nhà dân"
"hotel","Nhà Nghỉ 198","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Chung cư Golden Westlake","Khu liên hợp căn hộ"
"hotel","La Lumiere","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Bong’s Serviced Apartment","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Căn hộ nghỉ dưỡng full tiện ích","Căn hộ"
"hotel","Vinhomes Smart City - Căn hộ nghỉ dưỡng siêu tiện nghi tại tòa nhà SA3","Căn hộ"
"hotel","Phòng nghỉ căn hộ & Homestay Ocean Park","Khách sạn"
"hotel","căn hộ nghỉ dưỡng homestay vinhome ocean park 2ngủ","Nhà ở"
"hotel","NHÀ TRỌ SẠCH SẼ","Nhà trọ"
"hotel","Nhà Tuấn Tuấn","Khách sạn"
"hotel","Nhà Trọ Du Lịch","Nhà trọ"
"hotel","Nhà Trọ Huyền Minh","Nhà trọ"
"hotel","Nhà Số 10 ( Cho Thuê Phòng Trọ )","Nhà trọ"
"hotel","Nhà trọ Bác Hoa","Nhà trọ"
"hotel","nhà trọ tuấn lý","Phòng cho thuê"
"hotel","Dịch Vụ Nhà Cho Thuê Phạm Văn Bé","Nhà trọ"
"hotel","Dịch vụ cho thuê CCMN,phòng trọ","Nhà trọ"
"hotel","Nhà trọ An Sinh","Nhà trọ"
"hotel","Phòng trọ pháo đài láng","Nhà trọ"
"hotel","Nhà trọ Trúc Sơn","Nhà trọ"
"hotel","Nhà trọ Kim Hoa","Nhà trọ"
"hotel","Phòng trọ","Nhà trọ"
"hotel","Nhà nghỉ Thanh Nga","Nhà trọ"
"hotel","Nhà Trọ Viện Nhi Sạch Sẽ","Nhà trọ"
"hotel","Quán Cơm - Nhà Trọ Quỳnh","Nhà trọ"
"hotel","Phòng trọ chung cư mini - Lotus Home 68","Nhà trọ"
"hotel","Nhà Trọ Xanh 2","Nhà trọ"
"hotel","nha nghỉ thảo nguyên","Lưu trú nhà dân"
"hotel","Nhà Trọ Tâm","Nhà trọ"
"hotel","Phòng Trọ Ngõ 33","Nhà trọ"
"hotel","Nhà trọ Tuấn Hương","Nhà trọ"
"hotel","Nhà trọ bác Hải","Lưu trú nhà dân"
"hotel","Nhà Nghỉ Phượng Hoàng","Nhà nghỉ trượt tuyết"
"hotel","Nhà Trọ Nội Vụ","Nhà trọ"
"hotel","Nhà trọ nyc","Nhà trọ"
"hotel","Hotel Hưng Phát","Khách sạn"
"hotel","Thanh Phuong Private Enterprise","Khách sạn"
"hotel","Khách sạn Sông La","Nhà khách"
"hotel","Khách sạn - Hotel Duc Thanh","Khách sạn"
"hotel","Nhà nghỉ 89_Đức Thọ","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Book","Khách sạn"
"hotel","Nhà nghỉ Phong Lan 2","Khách sạn"
"hotel","Bách Đại Dũng Hotel","Khách sạn"
"hotel","Khách sạn Nhà hàng Mạnh Hải","Khách sạn"
"hotel","NHÀ NGHỈ ĐỒNG LỘC","Nhà nghỉ dưỡng cho thuê"
"hotel","Nhà nghỉ Lá Diêu Bông","Nhà nghỉ dưỡng cho thuê"
"hotel","MOTEL NHÀ NGHỈ ĐỨC TUYẾT","Khách sạn"
"hotel","Nhà Nghỉ bình dân 268","Khách sạn"
"hotel","Nhà nghỉ Thanh Bỉnh","Khách sạn"
"hotel","Bình Minh Hotel Hà Tĩnh","Khách sạn"
"hotel","Nhà nghỉ Phương Phương","Khách sạn"
"hotel","Nhà Nghỉ Dân Tộc","Khách sạn"
"hotel","Nhà nghỉ Thủy Nam","Khách sạn"
"hotel","Nhà Nghỉ Phuong Nam","Khách sạn"
"hotel","Nhà Nghỉ Nha Trang","Khách sạn"
"hotel","Nhà nghỉ 9999 xã đỉnh bàn thạch hà","Khách sạn"
"hotel","Khách sạn Đức Tài","Khách sạn"
"hotel","Nhà khách Hương Thủy","Nhà khách"
"hotel","Nhà Nghỉ Hà Quảng","Khách sạn"
"hotel","Nhà Nghỉ Gia Đình","Khách sạn"
"hotel","Nhà Khách 24","Khách sạn"
"hotel","Phương Phương 2 Hotel","Khách sạn"
"hotel","Hotel Minh Duc","Khách sạn"
"hotel","Khách sạn Thanh Bình 2","Khách sạn"
"hotel","NHÀ NGHĨ ANH ĐỨC","Khách sạn"
"hotel","Nhà nghỉ Khánh Huyền","Khách sạn"
"hotel","NHÀ KHÁCH NGOẠI THƯƠNG","Khách sạn"
"hotel","Nhà Nghỉ Ngôi Sao","Khách sạn"
"hotel","Cục Văn Thư Lưu Trữ Nhà Nước","Lưu trữ tiểu bang"
"hotel","DuLy's House","Khách sạn lưu trú dài hạn"
"hotel","Luxe Paradise Suites - Đội Cấn","Khách sạn"
"hotel","Cơ Sở Lưu Trú Hưng Tín","Khách sạn"
"hotel","Cơ sở lưu trú CH","Lưu trú nhà dân"
"hotel","P.A. Thani Hotel","Khách sạn"
"hotel","Khum Phaya Resort & Spa Boutique Collection","Khách sạn nghỉ dưỡng"
"hotel","Dịch Vụ Lưu Trú Hàn Phố","Lưu trú nhà dân"
"hotel","Dịch vụ lưu trú Đà Nẵng","Khách sạn"
"hotel","Dịch vụ lưu trú Cánh Đồng","Lưu trú nhà dân"
"hotel","Dịch Vụ Lưu Trú Cẩm Châu","Khách sạn"
"hotel","Dịch Vụ Lưu Trú Nhà Lan","Phòng cho thuê"
"hotel","Sai Gon - Song Lam Resort","Biệt thự"
"hotel","Du Lịch Sinh Thái Hải Thượng Resort","Khách sạn nghỉ dưỡng"
"hotel","Cửa Nhượng Resort & Hotel","Khách sạn nghỉ dưỡng"
"hotel","Khu Nghĩ Dưỡng Quốc Sáng","Quán bar karaoke"
"hotel","Lưu Phi Ý Resort","Khách sạn"
"hotel","Resort 5 sao Ông Hải","Khách sạn"
"hotel","C resort Kỳ Xuân","Khách sạn nghỉ dưỡng"
"hotel","Quynh Vien Resort","Khách sạn nghỉ dưỡng"
"hotel","Cua Lo Golf Resort","Khách sạn nghỉ dưỡng"
"hotel","Xanh Villas Resort & Spa","Khách sạn nghỉ dưỡng"
"hotel","Đông Dư Resort","Khách sạn nghỉ dưỡng"
"hotel","Quảng Tây Resort","Khách sạn nghỉ dưỡng"
"hotel","InterContinental Hà Nội Westlake","Khách sạn"
"hotel","Hotel Yah Hanoi","Khách sạn"
"hotel","Kem Beach Resort","Khách sạn nghỉ dưỡng"
"hotel","Mango Bay Resort","Khách sạn nghỉ dưỡng"
"hotel","Resort bình dân Chí Tươi","Nhà trọ"
"hotel","Star Night Hotel & Apartment","Khách sạn"
"hotel","Amira Hotel Hanoi","Khách sạn"
"hotel","Hoàng Tuấn Resort","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Nhà nghỉ Kim Chi","Khách sạn"
"hotel","Nhà Nghỉ Sơn Thịnh","Nhà nghỉ trượt tuyết"
"hotel","Nhà nghỉ Minh Đạo","Nhà khách"
"hotel","Nhà Nghỉ Thái Bình (Guest House) - 79 Bùi Thị Xuân - Tp. Huế","Nhà nghỉ trượt tuyết"
"hotel","Huế Thơ Homestay","Khách sạn"
"hotel","Homestay Gia Anh","Khách sạn"
"hotel","Nhà nghỉ Ngọc Thạch","Nhà khách"
"hotel","Trầm Homestay","Lưu trú nhà dân"
"hotel","Nhà Nghỉ Vũ Long","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Thanh Yên","Khách sạn"
"hotel","HomeStay Misa Tran","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Anh Nhật","Khách sạn"
"hotel","Nhà nghỉ Minh Quang","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Thanh Lịch","Khách sạn"
"hotel","Nhà Nghỉ Đại Minh","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ 4 Mùa","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Khánh Nguyên","Nhà khách"
"hotel","Nhà Nghỉ Thành Đạt","Nhà nghỉ trượt tuyết"
"hotel","Nhà nghỉ Hoàng Oanh","Khách sạn"
"hotel","Nhà Nghỉ Minh Đức - Cs 2","Khách sạn"
"hotel","Nhà Nghỉ Thịnh Vượng","Nhà nghỉ trượt tuyết"
"hotel","Nhà Nghỉ Thanh Hải","Khách sạn"
"hotel","Nhà nghỉ Tao Đàn","Khách sạn"
"hotel","Nhà Nghỉ Lưu Luyến","Nhà nghỉ trượt tuyết"
"hotel","Nhà khách đoàn an điều dưỡng 41 Huế","Nhà khách"
"hotel","Pine garden Hue","Khách sạn"
"hotel","Là Nhà Homestay Huế","Khách sạn"
"hotel","L'amour Homestay","Khách sạn"
"hotel","Soleil Boutique Homestay","Khách sạn"
"hotel","Hachi Homestay & Spa","Lưu trú nhà dân"
"hotel","Golden Star Villa Hue","Khách sạn nghỉ dưỡng"
"hotel","Metta Homestay Hue","Khách sạn"
"hotel","Hoàng Doji de Villa","Khách sạn nghỉ dưỡng"
"hotel","Khách sạn Athena - Thiên đường tình yêu","Khách sạn"
"hotel","Hue Riverside Boutique Resort & Spa","Khách sạn"
"hotel","Moon Homestay","Khách sạn"
"hotel","RÊU HOME","Khách sạn"
"hotel","Ann Boutique Hotel","Khách sạn"
"hotel","Dakar Homestay Huế","Khách sạn"
"hotel","Rose Homestay Huế","Nhà nghỉ dưỡng cho thuê"
"hotel","Tam Family Homestay Hue","Khách sạn"
"hotel","Hue 1962 INN","Quán trọ"
"hotel","Nội Homestay","Khách sạn"
"hotel","Nhà Nhãn Villa","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Mandarin Villas & Homestay","Biệt thự nhà vườn"
"hotel","Mondial Hotel","Khách sạn"
"hotel","A Stay In Bàu Vá","Khách sạn"
"hotel","Hue Ecolodge","Khách sạn nghỉ dưỡng"
"hotel","Sahi Homestay Retreat","Lưu trú nhà dân"
"hotel","Navilla Hué Homestay","Lưu trú nhà dân"
"hotel","VIỆT Hostel","Trạm nghỉ"
"hotel","Hajime Homestay","Lưu trú nhà dân"
"hotel","DAINOI - Cafe & Homestay","Nhà khách"
"hotel","Lam Vien Homestay Hue","Lưu trú nhà dân"
"hotel","HueNam Residence","Lưu trú nhà dân"
"hotel","De Hué space","Lưu trú nhà dân"
"hotel","Silk Path Grand Hue Hotel","Khách sạn"
"hotel","Hillside Homestay Hue","Lưu trú nhà dân"
"hotel","SAM Homestay And Cafés","Lưu trú nhà dân"
"hotel","Flower Homestay","Khách sạn"
"hotel","Le Robinet Homestay","Lưu trú nhà dân"
"hotel","Niki Homestay","Lưu trú nhà dân"
"hotel","La Peace - Home","Khách sạn nghỉ dưỡng"
"hotel","Minh Anh Homestay Huế","Lưu trú nhà dân"
"hotel","MangoGarden Coffee & homestay","Lưu trú nhà dân"
"hotel","Yesterday Airbnb & Coffee","Khách sạn"
"hotel","Ancient Huế Garden Houses","Khách sạn nghỉ dưỡng"
"hotel","L'âme Homestay","Nhà nghỉ dưỡng"
"hotel","LE HOME Homestay & Art Tea","Lưu trú nhà dân"
"hotel","Chi Homestay","Lưu trú nhà dân"
"hotel","Homestay 5 Sạch","Lưu trú nhà dân"
"hotel","Thiên Hà Homestay Huế","Lưu trú nhà dân"
"hotel","OYO 882 Lucky Hotel","Khách sạn"
"hotel","Hoa Vàng Homestay","Khách sạn"
"hotel","Le Robinet Villa","Lưu trú nhà dân"
"hotel","Châu Bảo An homestay","Khách sạn"
"hotel","Stay Hostel","Phòng cho thuê"
"hotel","Dory Homestay","Khách sạn"
"hotel","Hill Bungalow","Lưu trú nhà dân"
"hotel","Khách sạn Đường Sắt Huế","Nhà khách"
"hotel","Boom Casa Homestay","Lưu trú nhà dân"
"hotel","Asean Garden Homestay Hue","Lưu trú nhà dân"
"hotel","Nhà Trọ Chị Khuê","Nhà trọ"
"hotel","Nhà Trọ Tân Vui","Nhà trọ"
"hotel","Motel Sơn Ca","Khách sạn"
"hotel","Phòng trọ 238","Nhà trọ"
"hotel","Dãy trọ dì Nhung Trường Đồng","Nhà trọ"
"hotel","Nhà Trọ Gì Mừng","Nhà trọ"
"hotel","Nhà trọ Happy Day","Nhà trọ"
"hotel","Nhà trọ Mai Thanh","Nhà trọ"
"hotel","Nhà Trọ Của Đeo","Căn hộ nghỉ dưỡng cho thuê"
"hotel","Cho thuê phòng trọ sinh viên- gia đình Quý Yến","Phòng cho thuê"
"hotel","Nhà trọ Lô F11 Bùi Thị Cúc","Nhà trọ"
"hotel","Phòng trọ gia đình","Chỗ trọ trong nhà"
"hotel","Phòng trọ sinh viên Dì Liên","Nhà trọ"
"hotel","Phòng Trọ Sinh Viên Y Dược","Nhà trọ"
"hotel","Nhà trọ Hoàng Lân","Nhà trọ"
"hotel","Cư xá Thanh Lịch","Phòng cho thuê"
"hotel","Nhà trọ Diệu Vân","Nhà trọ"
"hotel","Minh Hầu Lạc Trú","Lưu trú nhà dân"
